ticker
SPY
QQQ
DIA
IWM
ARKK
ARKG
VTI
VOO
XLF
XLK
XLV
XLE
XLY
XLI
XLP
XLRE
XLC
TLT
SHY
IEF
GLD
SLV
USO
DBA
EFA
EEM
VEA
VWO
BND
LQD
HYG
IAU
FXI
EWJ
EWZ
GDX
GDXJ
XRT
XLU
SMH
