ticker
ABF.L
ADM.L
ANTO.L
AZN.L
BARC.L
BATS.L
BDEV.L
BLND.L
BP.L
BRBY.L
BT.A.L
CNA.L
CRH.L
CRDA.L
DCC.L
EVR.L
EXPN.L
FERG.L
FLTR.L
FRAS.L
GLEN.L
GSK.L
HLMA.L
HSBA.L
IAG.L
IHG.L
IMB.L
INF.L
INPP.L
ITV.L
JD.L
JE.L
KIE.L
KGF.L
LGEN.L
LLOY.L
MKS.L
MNDI.L
NG.L
NXT.L
PFC.L
PSN.L
RDSA.L
REL.L
RIO.L
RR.L
RTO.L
SBRY.L
SHEL.L
SMT.L
SPX.L
SSE.L
STAN.L
SVT.L
TSCO.L
ULVR.L
VOD.L
WEIR.L
WTB.L
ZPLA.L
